geocode,area_ha,mrnf_biomass,mrnf_carbon,esa_biomass,scanfi_biomass,mrnf_class
"-810015,65+545612,73",5.827509443436937,110.3,54.7,156.2405322415558,61.1864751645721,100-125
"-807763,71+542865,31",1.3561029815680237,97.5,48.5,69.27289719626168,85.31328707273194,75-100
"-807233,35+546892,35",4.097416094244277,88.1,43.9,155.8030018761726,63.63819822888281,75-100
"-807509,44+545660,07",7.162873083305554,103.8,51.7,163.55084441250446,53.660485715676266,100-125
"-807637,68+547162,40",8.64635311032937,82.4,41.0,156.03984304255957,52.62971184114945,75-100
"-807648,98+547391,60",3.7058530125447104,103.7,51.6,204.51610644257698,44.61282123693873,100-125
"-807852,58+547372,09",4.829206517103225,92.6,46.1,202.76700589180504,56.31994230075729,75-100
"-809132,78+544012,58",5.702359381194646,103.9,51.2,143.8451467268623,63.84992361747633,100-125
"-808237,27+545269,63",6.190691067010519,99.3,49.1,153.47521865889212,60.50202748366749,75-100
"-807420,38+544991,77",2.9285614890809164,91.9,45.5,158.64964788732397,66.53936726926736,75-100
"-807191,35+546205,22",2.574220992847509,94.1,46.7,158.23505572441744,47.04425497360941,75-100
"-807133,64+546504,21",2.516029444354451,87.7,43.7,200.72652218782247,42.577056457206275,75-100
"-807246,27+545032,27",0.5241185589066211,93.2,46.4,176.04901960784312,50.301333333333325,75-100
"-809115,29+544776,14",6.398560047876969,43.0,21.8,117.72849025974025,36.402223675604965,<50
"-809128,56+542752,51",1.5922992985897517,132.3,65.6,140.24709784411277,87.86200834981325,>=125
"-809054,93+544482,88",6.478773066429094,105.0,52.2,133.740249296341,75.12590838133171,100-125
"-808250,64+543185,60",7.002698120433654,116.4,57.8,192.70618556701035,80.17651745257186,100-125
"-807751,14+544963,13",4.409740240319403,116.5,57.9,105.69613583138175,72.84109415764094,100-125
"-808467,81+543570,16",3.9823650010932843,110.3,54.7,165.4254071661238,70.1092039583151,100-125
"-808530,51+545035,99",5.713874855626822,123.1,60.8,181.69673617407074,73.26085895558808,100-125
"-808658,22+544628,47",8.383058735292195,121.5,60.1,190.88335396039602,72.33571963705987,100-125
"-809451,88+545601,28",3.2587546816621575,93.0,45.9,185.01915403032723,58.67573647562935,75-100
"-807779,33+543197,01",7.9159989517332825,105.1,52.3,196.35365453949532,78.71031868470926,100-125
"-807299,43+546999,91",3.3882242880434768,69.3,34.5,129.42340261739798,61.02232280629566,50-75
"-808835,16+547122,84",4.230651446464203,72.8,36.2,169.5036719706242,54.17611202635916,50-75
"-809261,01+544322,68",5.879538126145287,97.5,48.2,175.2519823788547,53.18702561669825,75-100
"-809725,27+546282,30",8.449802508640332,110.2,54.4,155.25129454766983,43.281172686788686,100-125
"-807829,51+545941,58",2.2362170839610824,114.1,56.6,139.79743888242143,62.870012468827944,100-125
"-809030,61+543270,49",4.3326448892754215,135.8,67.3,197.90435835351093,87.3015758160476,>=125
"-809196,87+545181,84",7.7127778448815745,108.0,53.5,164.95535414568653,59.746098520830515,100-125
"-808200,69+545449,89",1.8565757317627438,108.9,54.1,87.11561561561564,66.75417526740475,100-125
"-809866,76+546903,39",4.214617352855289,112.3,55.7,173.02169869807813,62.47715442452283,100-125
"-809824,54+543522,67",12.254426361755234,129.6,64.0,184.9425725789362,67.70033296337408,>=125
"-810439,34+543092,21",6.345922654838547,141.6,69.9,201.5103305785124,87.48564170532362,>=125
"-808114,48+543306,83",8.41007386382756,154.7,76.6,187.62164662349684,90.51065329132811,>=125
"-809664,91+543980,47",5.609796569831272,90.0,44.8,162.0752886836028,83.39494804952403,75-100
"-807492,51+547281,72",6.967690545669373,90.3,45.0,194.0401486988848,42.68296466820137,75-100
"-807305,90+546649,78",5.510035051181179,95.9,47.8,192.3322290582111,50.29407674315697,75-100
"-807483,65+546693,31",4.678709465257776,98.8,49.2,202.02520547945213,54.14894250819181,75-100
"-808987,30+544267,45",4.60207167751024,106.4,52.6,147.33484162895925,41.97602662028284,100-125
"-808645,36+544111,97",4.227000703937923,91.7,45.4,161.95646842427956,48.78789630118891,75-100
"-807598,58+542722,58",0.07725185855293105,37.5,18.4,56.0909090909091,54.89592760180995,<50
"-810276,44+544294,53",5.393887009237169,133.5,66.1,192.45756222080414,83.58800361570243,>=125
"-808058,07+545854,67",5.251213132768476,108.4,53.5,122.8335795174791,58.798301486199556,100-125
"-809920,21+546611,50",3.8690928950670522,100.6,50.0,197.20852764823456,79.24824292665349,100-125
"-807713,61+543346,71",4.2983769147159805,141.8,70.1,191.2629674306394,86.79260880136157,>=125
"-808436,59+543272,78",9.820200728747224,162.3,80.2,188.1830687830688,85.86918408631146,>=125
"-810178,40+543887,64",7.287971457356283,102.9,51.1,206.03835227272728,89.232574815948,100-125
"-807938,74+545880,03",2.851338678273581,126.7,62.5,135.8777573529412,70.74850079549626,>=125
"-809002,88+545167,11",8.388900367816346,109.6,54.3,170.0413580246914,54.97172044350319,100-125
"-809448,29+546082,25",6.159548268777117,107.3,52.9,160.82493702770782,43.45221128831581,100-125
"-807606,89+546517,10",3.333914880028904,117.0,58.1,185.07943925233647,88.26475812349807,100-125
"-809384,63+546238,81",3.952541135757151,99.0,49.0,197.03788373612014,74.13794319985888,75-100
"-809406,32+546828,64",4.086068769859543,112.7,55.8,179.40398671096344,75.31184995737424,100-125
"-807576,03+542932,11",3.2324518053295566,138.6,68.6,159.1592562651576,86.24466939478785,>=125
"-810062,07+544408,39",5.219018993220322,114.8,57.1,172.3922902494331,81.47769678325419,100-125
"-808224,03+542710,37",0.49604446751241676,120.2,59.7,139.2994350282486,105.69630156472263,100-125
"-809862,48+543995,83",6.246545292946345,96.4,48.0,210.00831600831606,94.5888064282127,75-100
"-807978,47+546148,43",4.303734154297768,121.5,60.0,141.77950868783705,70.57682028023,100-125
"-809789,34+545659,36",4.830972886446241,108.7,53.7,187.03691813804176,45.196523871339956,100-125
"-809338,45+544972,81",9.610613330471011,111.3,55.1,169.19360953154623,48.57485942318154,100-125
"-809137,76+545481,11",4.28759718554785,106.8,52.9,163.0121212121212,64.03119400553834,100-125
"-808643,12+542642,65",1.5942100886560648,31.5,15.5,59.946932006633496,33.10208562019759,<50
"-808986,33+543107,34",6.883258767680508,122.3,60.9,157.6923950056754,89.43307844229506,100-125
"-809506,02+547386,28",4.510338447355495,88.3,43.9,173.51995373048004,93.01091922868424,75-100
"-809120,93+545835,46",4.057517068342589,88.7,44.2,144.784625158831,77.12971070478154,75-100
"-809393,76+542863,54",0.09588728319915989,119.8,59.4,147.42857142857142,30.216606498194945,100-125
"-809722,12+543232,06",9.662304646933267,144.3,71.3,189.74676724137933,83.1836026461338,>=125
"-808595,20+543095,03",6.35617810738919,160.1,79.1,176.81203931203936,87.04317020926015,>=125
"-808577,61+542885,12",3.388458378628706,121.9,60.4,194.1317225253312,83.93848059454996,100-125
"-808311,55+542972,77",3.858051814149565,124.0,61.7,201.59675236806498,88.87355386840201,100-125
"-809077,08+546217,47",7.854081832210091,96.0,47.6,191.16672147319966,81.84847677413624,75-100
"-807577,89+546159,42",6.649547939268182,108.0,53.5,150.34165366614667,49.56954128440366,100-125
"-808416,70+546083,76",4.159879513575448,99.7,49.3,177.93088418430884,52.79423592493294,75-100
"-809304,44+543917,99",2.9271424195686104,97.3,48.2,182.84982638888889,41.522895301693296,75-100
"-808390,30+544164,36",5.55429276923368,119.4,59.1,176.48848142924314,42.73168130489334,100-125
"-808923,20+545852,40",4.232390765946843,27.8,13.9,133.09309494451298,51.255213914763836,<50
"-809449,10+543148,77",11.20810829482687,36.5,18.0,104.73014398513702,30.50679000809817,<50
"-807679,67+544890,45",4.318907287227645,87.4,43.1,107.26063511084485,59.00815831987074,75-100
"-808919,60+546844,27",3.2955938389828976,117.4,58.3,187.69599371563237,91.69604316546761,100-125
"-807765,88+543839,58",2.965448347383889,127.4,63.2,159.14526129317977,86.64066918001885,>=125
"-810412,10+543393,44",7.018246723369029,119.4,59.2,214.09211986681467,91.75614000198868,100-125
"-809620,49+546538,82",7.374303380748451,99.7,49.6,156.55705996131525,61.79362527191902,75-100
"-809343,60+546699,20",9.267176283364028,109.1,54.2,137.46830451925996,70.24984944293887,100-125
"-810009,14+545740,46",3.978744383006252,79.7,39.5,169.20907297830374,51.532778264680104,75-100
"-807125,87+546341,35",0.5879761539651172,111.7,55.4,158.8701298701299,42.58467023172905,100-125
"-808542,67+543700,73",3.549552368709974,110.0,54.3,182.67152221412962,67.48955575169167,100-125
"-808935,10+543419,67",2.366459779479138,123.4,61.0,191.36865342163358,74.4948347107438,100-125
"-808696,40+543595,20",5.488989584620516,126.7,62.6,181.03166351606808,80.48871511221311,>=125
"-808348,57+542776,96",1.982413940521247,141.8,70.3,203.2234042553192,76.40155120747397,>=125
"-807455,13+546121,84",5.796904700831015,106.9,53.1,149.40737410071947,57.818564639355095,100-125
"-808348,71+545100,80",7.460785349819971,102.6,50.9,134.27142857142857,54.654859813084116,100-125
"-809453,50+544616,67",9.23763124755344,113.8,56.4,168.80429927414852,49.08679729678709,100-125
"-809415,08+544415,27",7.987635921234039,103.4,51.3,173.34220779220774,44.94615216917374,100-125
"-808876,80+544113,78",6.662942100266226,107.5,53.3,139.4012465913518,54.99292934583356,100-125
"-808332,59+547248,70",1.7370770515474563,68.2,34.0,45.64243323442137,43.140357932837304,50-75
"-807349,72+543449,38",0.511886115652675,112.3,55.7,64.16577540106952,87.28035470668485,100-125
"-808216,70+543383,74",6.4688724900332035,124.7,61.8,177.86471296668006,76.42965677030013,100-125
"-809427,95+545813,45",5.9658875588863856,96.4,47.9,147.0125649913345,39.55210280373832,75-100
"-809661,41+545736,07",5.123463934879373,95.4,47.4,153.37765419615775,44.51959450265343,75-100
"-809563,77+545632,06",4.38976505983932,102.1,50.6,168.58823529411768,56.66981881754608,100-125
"-808860,86+547406,20",2.319293510601005,108.4,53.8,208.2190580503834,75.74823281696499,100-125
"-809528,88+547592,64",8.105598822876003,104.1,51.7,158.57852819369225,56.287948442534926,100-125
"-807700,45+544044,60",3.603606181282716,99.3,49.5,158.91208005718374,63.81445689988403,75-100
"-809146,78+547377,71",4.980660354227632,98.6,49.1,170.37656903765694,64.62089259440903,75-100
"-808904,14+543861,50",8.521860212668583,89.8,44.8,172.34479582437828,57.2984549987738,75-100
"-808351,29+543994,62",4.142647178838829,92.8,46.3,163.29650436953807,53.24749389267962,75-100
"-809430,49+549364,23",7.084233451278768,114.4,56.6,200.68626010286553,56.48640795823895,100-125
"-807966,25+547863,77",15.384259372145861,122.9,60.8,192.2637491616365,84.13669342039636,100-125
"-807811,78+548333,94",9.080632553216534,118.6,58.6,190.5379547407619,69.6246305040501,100-125
"-807065,19+548767,19",8.911509880967369,121.6,59.9,203.14091435185196,87.22276549970658,100-125
"-806751,87+547812,64",7.302104836993615,122.2,60.5,193.60000000000002,57.98940384707173,100-125
"-809312,21+549758,32",6.0452579862885205,88.7,44.1,192.53502363558232,87.55813819356327,75-100
"-806600,08+548936,76",0.15573465920669988,94.0,46.6,209.38983050847455,55.020270270270274,75-100
"-806676,50+551304,01",6.221344420213462,131.2,65.1,187.33777038269557,92.48214385827205,>=125
"-807545,09+550719,61",18.361502532208867,139.1,68.9,208.10081782289905,96.70707358272124,>=125
"-808280,35+546319,82",5.528692967201371,129.0,63.6,192.79897148200092,69.47677940434124,>=125
"-809705,96+547146,52",9.882255446007633,128.2,63.4,195.68731950643212,79.60074034902169,>=125
"-807857,49+544562,76",4.9244857464456295,109.4,54.3,158.38648363252375,68.35289121664663,100-125
"-807522,20+543842,45",0.6666962549926111,27.6,14.1,83.60474308300395,38.03177083333334,<50
"-807769,71+544694,93",6.451796961065664,109.9,54.5,147.78410914927773,69.13250472845178,100-125
"-809623,93+546075,99",3.7339470671173927,96.4,47.7,121.20877565463553,49.98832212257098,75-100
"-807831,71+544414,43",3.4766653194171826,91.4,45.3,154.03305785123968,64.72802969502406,75-100
"-809928,30+546115,42",5.910098372170306,106.9,52.9,151.47972088966418,53.90475347959425,100-125
"-808694,96+546844,82",5.344336787310826,98.3,49.0,206.2402126631223,61.41290869934086,75-100
"-809092,39+543578,65",3.58458735922764,98.1,48.7,183.26093189964158,55.949508707072674,75-100
"-810040,64+545947,90",3.729053223060837,78.7,39.2,141.03773584905662,34.614787810805744,75-100
"-808486,02+546927,05",6.301782004575184,96.9,48.3,167.2056418642682,48.60723771580345,75-100
"-808447,13+547224,89",4.906010976708208,99.7,49.7,161.489904357067,73.494603805737,75-100
"-808698,46+547040,87",3.9177113897130194,109.9,54.8,190.72926343729267,81.73887504449979,100-125
"-807507,26+544577,56",6.134947134284513,95.4,47.3,150.94277236117003,69.70155192996418,75-100
"-809234,32+550790,14",6.000761955455902,98.0,48.7,204.3837907375643,90.44254676426162,75-100
"-809012,66+547483,60",5.925465085381828,126.2,62.5,205.4582967515364,89.76857361692096,>=125
"-808435,81+544638,61",4.9981341828777355,121.5,60.2,143.42537701508058,93.60826538434733,100-125
"-807668,13+544304,32",2.6837924890797993,89.5,44.5,96.91754554170663,47.97394010112798,75-100
"-807437,17+544205,65",1.7343196967390453,97.7,48.6,116.74702380952382,58.96187979023797,75-100
"-807801,59+544200,21",4.311690773385082,88.9,44.3,146.72105578884225,60.05553756476684,75-100
"-808903,49+543607,00",6.5173919780814575,93.2,46.4,184.4305555555556,58.25505293551495,75-100
"-808385,44+543818,63",6.75273668969821,94.1,46.9,146.6264456437934,58.4919979349509,75-100
"-807871,31+545376,66",5.015119718914368,95.7,47.6,149.3950361944157,63.562904235343204,75-100
"-808285,17+544884,87",5.036573520717772,29.4,15.0,49.60670103092783,30.673172757475086,<50
"-807926,57+547966,45",2.894308281897063,103.9,51.6,203.93901345291485,93.58414648837487,100-125
"-808496,41+547455,03",2.034286212546973,82.7,41.1,105.95207253886012,71.81843050094032,75-100
"-808870,05+544901,07",4.449185795805988,95.5,47.5,169.62973760932942,53.54981983393385,75-100
