disturbance_type,event_id,disturbance_year,observation_year,years_since_disturbance,supported_site_reference_pairs,blue_gap_median,blue_gap_mean,blue_gap_sd,dist_blue_median,ref_blue_median,green_gap_median,green_gap_mean,green_gap_sd,dist_green_median,ref_green_median,red_gap_median,red_gap_mean,red_gap_sd,dist_red_median,ref_red_median,nir_gap_median,nir_gap_mean,nir_gap_sd,dist_nir_median,ref_nir_median,swir1_gap_median,swir1_gap_mean,swir1_gap_sd,dist_swir1_median,ref_swir1_median,swir2_gap_median,swir2_gap_mean,swir2_gap_sd,dist_swir2_median,ref_swir2_median,nbr_gap_median,nbr_gap_mean,nbr_gap_sd,dist_nbr_median,ref_nbr_median,ndvi_gap_median,ndvi_gap_mean,ndvi_gap_sd,dist_ndvi_median,ref_ndvi_median
fire_total,fire_20031080204_2003,2003,2013,10,3,-0.009116,-0.007989,0.004722,0.032650,0.020605,-0.011798,-0.012297,0.004647,0.058198,0.042509,-0.019635,-0.021853,0.011234,0.047610,0.027879,-0.119061,-0.090938,0.070879,0.324232,0.205171,-0.048840,-0.043042,0.011761,0.171800,0.122960,-0.030030,-0.029173,0.004930,0.090180,0.056561,0.023143,0.017899,0.099752,0.552191,0.581204,0.061187,0.032266,0.096511,0.682678,0.743865
fire_total,fire_20031080204_2003,2003,2014,11,4,-0.010553,-0.013299,0.011499,0.033001,0.020736,-0.018632,-0.022684,0.010150,0.061126,0.038941,-0.024702,-0.030288,0.016749,0.052842,0.026229,-0.139033,-0.140948,0.023138,0.342960,0.197767,-0.075350,-0.083483,0.037756,0.186554,0.111204,-0.044234,-0.051068,0.024830,0.095357,0.050346,-0.000331,0.051403,0.124467,0.579168,0.587395,0.026020,0.064313,0.095020,0.733482,0.769967
fire_total,fire_20031080204_2003,2003,2015,12,4,-0.016191,-0.013314,0.029619,0.036418,0.024469,-0.017319,-0.017225,0.022806,0.061017,0.044186,-0.027596,-0.029872,0.024866,0.058376,0.028016,-0.125112,-0.120749,0.027935,0.330475,0.198152,-0.075274,-0.083507,0.031613,0.179995,0.103916,-0.040645,-0.047599,0.023191,0.084570,0.043925,0.028934,0.081792,0.150326,0.596357,0.625291,0.036355,0.061361,0.139425,0.704659,0.765390
fire_total,fire_20031080204_2003,2003,2016,13,4,-0.013366,-0.011378,0.007466,0.029529,0.018873,-0.016528,-0.017448,0.003884,0.055668,0.039374,-0.029687,-0.027775,0.004484,0.051886,0.024413,-0.118753,-0.097409,0.053838,0.328035,0.207935,-0.063415,-0.061548,0.014591,0.165193,0.113143,-0.037166,-0.036448,0.007810,0.084055,0.053852,0.016375,0.049281,0.088244,0.566134,0.595621,0.066562,0.085815,0.071247,0.721220,0.788740
fire_total,fire_20031080204_2003,2003,2017,14,2,-0.014148,-0.014148,0.009335,0.036321,0.022173,-0.019765,-0.019765,0.000009,0.065685,0.045919,-0.022942,-0.022942,0.005066,0.055372,0.032429,-0.149731,-0.149731,0.013875,0.365249,0.215518,-0.049892,-0.049892,0.006213,0.182498,0.132605,-0.029060,-0.029060,0.011211,0.093521,0.064461,-0.057088,-0.057088,0.051829,0.601008,0.543920,0.000247,0.000247,0.011804,0.731894,0.732141
fire_total,fire_20031080204_2003,2003,2018,15,4,-0.011289,-0.011828,0.001373,0.035145,0.022943,-0.010787,-0.011275,0.005471,0.056829,0.045926,-0.017462,-0.017370,0.005753,0.048146,0.030642,-0.081848,-0.078950,0.063101,0.298231,0.215332,-0.061855,-0.062625,0.014094,0.182030,0.123324,-0.037084,-0.035568,0.008692,0.093831,0.057180,0.049593,0.077308,0.117860,0.526572,0.587041,0.035783,0.045033,0.093833,0.723749,0.752688
fire_total,fire_20031080204_2003,2003,2019,16,3,0.002558,-0.002965,0.011250,0.023795,0.026353,-0.000551,-0.003360,0.017093,0.046703,0.047885,-0.001553,-0.003941,0.013286,0.032622,0.031069,-0.018384,-0.046878,0.072016,0.253475,0.227900,0.020639,0.000958,0.048367,0.099956,0.134537,0.016294,-0.000119,0.029868,0.048297,0.064591,-0.040196,-0.053240,0.041343,0.619439,0.579243,-0.009598,-0.008531,0.029249,0.748714,0.754720
fire_total,fire_20031080204_2003,2003,2020,17,4,-0.016707,-0.020103,0.011672,0.035167,0.018460,-0.020384,-0.026523,0.015368,0.059015,0.036782,-0.021780,-0.034636,0.027698,0.047156,0.025377,-0.139480,-0.134905,0.030812,0.344878,0.198819,-0.083806,-0.103372,0.059444,0.201493,0.108832,-0.041546,-0.056564,0.043164,0.097282,0.050621,-0.004595,0.050720,0.157348,0.577642,0.577856,0.021981,0.070673,0.119868,0.759381,0.775181
fire_total,fire_20031080204_2003,2003,2021,18,4,-0.013990,-0.013829,0.004792,0.033035,0.020667,-0.017489,-0.016823,0.003102,0.057805,0.040399,-0.022523,-0.023684,0.005357,0.048703,0.025864,-0.117968,-0.113070,0.019494,0.313219,0.195250,-0.064178,-0.073239,0.034575,0.176228,0.112049,-0.039690,-0.043650,0.020689,0.092064,0.050270,0.019872,0.051091,0.107607,0.555865,0.587913,0.035743,0.043700,0.036023,0.736389,0.766756
fire_total,fire_20031080204_2003,2003,2022,19,4,-0.005981,-0.007198,0.007050,0.024661,0.018680,-0.011042,-0.009983,0.011043,0.052463,0.041422,-0.018790,-0.018140,0.010174,0.043368,0.024578,-0.122182,-0.099914,0.058951,0.335590,0.213407,-0.040350,-0.036345,0.042987,0.158827,0.114710,-0.018735,-0.019000,0.022628,0.072257,0.053020,-0.043742,-0.026866,0.052274,0.637675,0.600625,0.040425,0.038847,0.015539,0.754077,0.794503
fire_total,fire_20031080204_2003,2003,2023,20,4,-0.005157,-0.003617,0.004642,0.023960,0.018955,-0.010409,-0.008718,0.006842,0.047596,0.037187,-0.012237,-0.012760,0.003727,0.036445,0.023692,-0.123255,-0.104964,0.042645,0.312573,0.186753,-0.040322,-0.033856,0.029108,0.144232,0.103634,-0.017765,-0.015964,0.012413,0.065485,0.047720,-0.027094,-0.036768,0.030916,0.633507,0.591467,0.006647,0.006747,0.022884,0.761197,0.767845
fire_total,fire_20031080204_2003,2003,2024,21,4,-0.011832,-0.010904,0.002446,0.031137,0.019890,-0.013063,-0.013128,0.003192,0.056479,0.043512,-0.018700,-0.018016,0.006701,0.047774,0.028855,-0.121199,-0.125255,0.016632,0.314140,0.189572,-0.058376,-0.058891,0.011790,0.176406,0.116168,-0.029191,-0.032013,0.008162,0.088206,0.053096,-0.034500,-0.030754,0.032437,0.566064,0.537554,0.002776,0.001272,0.037350,0.742733,0.736113
